Team,SU,ATS,avg_points_for,avg_points_against,avg_points_for_ha,avg_points_against_ha,ROff,RDef,last_5_wins
FGCU,16-17,8-22,77.8,76.5,71.2,79.3,8.9,21.5,3
CARK,21-11,19-11-0,80.7,74.4,86.9,67.3,10.0,25.7,4
BRY,9-21,11-17,65.1,72.3,57.6,74.5,7.8,20.8,1
UVM,20-11,13-16-0,74.1,69.2,75.9,65.2,7.9,26.4,4
NEOM,16-16,14-14-0,76.8,76.5,71.1,78.2,7.3,22.7,3
NDSU,25-7,17-12-0,81.3,70.4,86.1,67.5,10.4,24.5,4
USM,18-15,16-15-0,74.5,73.8,72.5,78.7,9.2,23.2,4
APP,19-12,16-13-0,72.0,65.4,76.3,62.7,10.2,26.3,2
QNC,19-13,13-17-0,84.3,82.6,78.8,85.7,8.6,20.4,4
PEAY,22-8,15-13-0,81.6,72.6,88.5,68.5,9.2,22.5,3
PORT,15-18,15-16-0,74.7,78.4,62.1,80.4,7.5,21.0,3
SF,16-15,13-17-0,74.4,73.3,76.7,73.6,9.5,22.4,2
GASO,19-15,15-17-0,81.0,80.1,79.3,83.1,9.1,21.4,4
CCAR,19-12,19-11-0,73.4,71.8,77.4,70.2,9.9,30.1,4
UND,17-16,18-12-0,77.3,77.8,71.7,81.6,6.9,18.6,2
STT,24-8,15-14-0,83.2,71.8,86.9,68.3,5.6,27.3,4
MORE,20-12,18-11-0,75.5,74.2,70.9,78.2,10.5,21.2,5
TNST,22-9,17-11-0,80.1,73.5,86.4,72.1,10.3,25.8,5
UNI,21-12,17-15-0,69.4,60.8,66.5,62.6,5.3,23.0,3
BRAD,21-11,13-18-0,77.8,73.4,78.9,68.1,9.4,23.8,3
SEA,20-12,13-17-0,72.3,67.2,68.8,72.2,8.1,21.3,4
PAC,17-14,15-14-0,73.2,68.9,73.4,62.8,10.4,25.9,1
ALBY,11-20,11-17,71.8,72.6,65.9,75.9,8.6,19.7,2
MASSL,14-17,15-13-0,74.9,75.8,84.4,72.0,12.5,26.3,3
UNCA,15-16,13-15-0,73.5,72.9,71.8,76.6,9.2,20.7,3
HP,28-4,14-15-0,90.4,70.1,93.7,64.4,10.4,24.2,5
STONE,12-20,15-14-0,66.9,69.0,61.5,69.9,7.6,24.9,3
MEHST,16-16,20-10-0,69.8,67.5,77.8,65.0,8.9,22.7,3
DAV,18-12,13-15-0,72.6,67.8,66.4,64.7,9.8,20.7,3
SBON,15-15,10-19,76.9,75.3,79.4,74.5,10.5,22.5,1
GT,11-19,12-18,73.7,77.4,76.8,86.0,8.0,23.1,0
CLEM,21-9,17-13-0,74.3,66.0,76.4,61.7,8.7,24.5,1
UNCG,14-18,13-17-0,78.8,80.7,75.7,87.0,7.8,22.2,2
WOF,19-12,15-14-0,79.0,77.2,78.4,73.8,9.3,22.8,2
PRE,15-17,16-13-0,72.4,72.2,65.8,73.1,9.5,20.6,2
