strategy,date,home_team,away_team,closing_spread,actual_margin,pred_margin,edge_pts,pick,won,profit,cumulative_pl,drawdown,stake_used
BARTHAG_3pt,2024-11-04,SMU,Tarleton St.,-18.9,34.0,30.23,11.33,Home,True,90.91,90.91,0.0,
BARTHAG_3pt,2024-11-04,Bradley,Southeast Missouri St.,-17.2,28.0,12.880000000000003,-4.32,Away,False,-100.0,-9.09,100.0,
BARTHAG_3pt,2024-11-04,Boston College,The Citadel,-15.1,9.0,20.13,5.03,Home,False,-100.0,-109.09,200.0,
BARTHAG_3pt,2024-11-04,Arizona,Canisius,-28.2,29.0,42.785,14.58,Home,True,90.91,-18.18,109.09,
BARTHAG_3pt,2024-11-04,Air Force,North Alabama,-1.3,-16.0,-19.98,-21.28,Away,True,90.91,72.73,18.18,
BARTHAG_3pt,2024-11-04,Alabama,UNC Asheville,-19.4,56.0,29.774999999999995,10.37,Home,True,90.91,163.64,0.0,
BARTHAG_3pt,2024-11-04,Appalachian St.,Miami OH,-8.3,-14.0,-2.395,-10.7,Away,True,90.91,254.55,0.0,
BARTHAG_3pt,2024-11-04,Arkansas St.,Akron,-6.0,5.0,0.6650000000000045,-5.33,Away,True,90.91,345.45,0.0,
BARTHAG_3pt,2024-11-04,Army,Albany,0.4,8.0,-3.605,-3.21,Away,False,-100.0,245.45,100.0,
BARTHAG_3pt,2024-11-04,Colorado,Eastern Washington,-16.4,20.0,23.955000000000002,7.56,Home,True,90.91,336.36,9.09,
BARTHAG_3pt,2024-11-04,Boston University,Northeastern,-3.2,-8.0,-11.45,-14.65,Away,True,90.91,427.27,0.0,
BARTHAG_3pt,2024-11-04,Grand Canyon,Cal St. Fullerton,-17.8,10.0,31.715000000000003,13.92,Home,False,-100.0,327.27,100.0,
BARTHAG_3pt,2024-11-04,Georgia,Tennessee Tech,-23.7,5.0,33.145,9.45,Home,False,-100.0,227.27,200.0,
BARTHAG_3pt,2024-11-04,George Mason,North Carolina Central,-13.7,17.0,29.49,15.79,Home,True,90.91,318.18,109.09,
BARTHAG_3pt,2024-11-04,Florida St.,Northern Kentucky,-8.6,12.0,18.5,9.9,Home,True,90.91,409.09,18.18,
BARTHAG_3pt,2024-11-04,Duquesne,Lipscomb,-5.4,-5.0,-3.5499999999999976,-8.95,Away,True,90.91,500.0,0.0,
BARTHAG_3pt,2024-11-04,Duke,Maine,-25.2,34.0,31.174999999999997,5.97,Home,True,90.91,590.91,0.0,
BARTHAG_3pt,2024-11-04,Delaware,Bucknell,-5.4,-12.0,-1.4649999999999996,-6.87,Away,True,90.91,681.82,0.0,
BARTHAG_3pt,2024-11-04,DePaul,Southern Indiana,-15.7,2.0,24.455,8.75,Home,False,-100.0,581.82,100.0,
BARTHAG_3pt,2024-11-04,Dayton,Saint Francis,-22.7,30.0,26.784999999999997,4.08,Home,True,90.91,672.73,9.09,
BARTHAG_3pt,2024-11-04,Coastal Carolina,Western Michigan,-3.8,4.0,-3.83,-7.63,Away,False,-100.0,572.73,109.09,
BARTHAG_3pt,2024-11-04,Charlotte,Presbyterian,-13.6,9.0,-0.6400000000000017,-14.24,Away,True,90.91,663.64,18.18,
BARTHAG_3pt,2024-11-04,Clemson,Charleston Southern,-19.7,27.0,36.325,16.63,Home,True,90.91,754.55,0.0,
BARTHAG_3pt,2024-11-04,Louisiana,Kent St.,-4.0,-4.0,-19.51,-23.51,Away,True,90.91,845.45,0.0,
BARTHAG_3pt,2024-11-04,La Salle,American,-7.2,13.0,2.8350000000000013,-4.36,Away,False,-100.0,745.45,100.0,
