team_id,team_name,season,wins,losses,era,whip,woba,bullpen_era,win_pct,run_differential,runs_scored_per_game
109,Arizona Diamondbacks,blend,66,59,4.19,1.2825,0.31855,4.4025,0.51946,15.0,4.62268
133,Athletics,blend,49,75,5.2625,1.465,0.32085,5.04,0.41365,-151.5,4.3973
144,Atlanta Braves,blend,74,50,3.82,1.2575,0.3202,3.6475,0.56486,85.25,4.74027
110,Baltimore Orioles,blend,61,63,4.3075,1.355,0.31585,4.1525,0.48469,-47.25,4.44999
111,Boston Red Sox,blend,66,58,3.565,1.2375,0.31983,3.29,0.53654,88.25,4.53353
112,Chicago Cubs,blend,72,53,4.0675,1.24,0.33327,3.755,0.57397,111.0,5.09377
145,Chicago White Sox,blend,65,58,4.1475,1.3075,0.31607,4.335,0.48894,11.5,4.62041
113,Cincinnati Reds,blend,59,65,4.3325,1.355,0.30985,4.2625,0.48494,-56.5,4.14727
114,Cleveland Guardians,blend,60,65,3.8125,1.2675,0.30168,3.71,0.4958,-25.5,3.95628
115,Colorado Rockies,blend,50,74,5.595,1.535,0.3193,5.0725,0.36878,-190.75,4.52614
116,Detroit Tigers,blend,60,64,3.65,1.22,0.32082,3.5475,0.49716,79.0,4.58709
117,Houston Astros,blend,63,62,4.4,1.325,0.32107,4.1275,0.51226,-17.25,4.51464
118,Kansas City Royals,blend,51,74,4.5175,1.3675,0.30988,4.405,0.43254,-79.75,4.08263
108,Los Angeles Angels,blend,49,76,4.5225,1.37,0.305,4.455,0.40511,-105.5,4.08058
119,Los Angeles Dodgers,blend,74,51,3.7475,1.1925,0.3358,3.5875,0.58752,137.5,4.96915
146,Miami Marlins,blend,64,61,4.09,1.255,0.31967,3.89,0.50591,-7.25,4.39414
158,Milwaukee Brewers,blend,77,48,3.52,1.1775,0.32292,3.3,0.61169,145.0,4.89183
142,Minnesota Twins,blend,60,65,4.64,1.37,0.3188,4.925,0.46802,-59.75,4.5143
121,New York Mets,blend,56,69,4.075,1.305,0.31407,4.5925,0.46409,-18.75,4.3201
147,New York Yankees,blend,69,55,3.4225,1.1975,0.32317,3.3275,0.5624,104.75,4.64285
143,Philadelphia Phillies,blend,67,58,4.0675,1.29,0.3187,3.95,0.55015,39.25,4.54862
134,Pittsburgh Pirates,blend,61,65,4.1725,1.295,0.32072,4.0125,0.47267,7.0,4.66755
135,San Diego Padres,blend,67,58,3.9675,1.285,0.31217,3.875,0.54089,22.5,4.29333
137,San Francisco Giants,blend,51,73,4.225,1.3375,0.3118,4.45,0.43347,-45.0,4.16659
136,Seattle Mariners,blend,59,66,3.855,1.2125,0.31128,3.465,0.49289,0.75,4.1161
138,St. Louis Cardinals,blend,64,61,4.0875,1.3275,0.30925,3.9075,0.50437,-10.25,4.36327
139,Tampa Bay Rays,blend,74,49,3.805,1.1675,0.32195,3.805,0.57005,46.75,4.51039
140,Texas Rangers,blend,61,64,4.1,1.27,0.31083,3.8325,0.491,-15.5,4.09755
141,Toronto Blue Jays,blend,61,65,4.01,1.3,0.30827,3.8525,0.50816,-23.5,4.16005
120,Washington Nationals,blend,60,66,4.8775,1.405,0.32778,4.5975,0.459,-39.5,5.04828
