team_id,team_name,season,wins,losses,win_pct,run_differential,era,whip,woba,runs_scored_per_game,bullpen_era
109,Arizona Diamondbacks,2026,35,34,0.50725,-21,4.23,1.28,0.3037,4.26087,4.23
133,Athletics,2026,34,35,0.49275,-39,4.61,1.41,0.3267,4.4058,4.61
144,Atlanta Braves,2026,45,24,0.65217,112,3.27,1.17,0.3298,5.14493,3.27
110,Baltimore Orioles,2026,34,37,0.47887,-24,4.53,1.4,0.3209,4.76056,4.53
111,Boston Red Sox,2026,28,39,0.41791,-5,3.89,1.28,0.3082,4.0,3.89
112,Chicago Cubs,2026,36,34,0.51429,8,4.26,1.24,0.3219,4.6,4.26
145,Chicago White Sox,2026,37,31,0.54412,16,4.25,1.3,0.3266,4.79412,4.25
113,Cincinnati Reds,2026,32,36,0.47059,-57,4.74,1.47,0.3134,4.23529,4.74
114,Cleveland Guardians,2026,38,33,0.53521,-5,3.79,1.26,0.3068,4.02817,3.79
115,Colorado Rockies,2026,26,44,0.37143,-102,5.56,1.52,0.3149,4.3,5.56
116,Detroit Tigers,2026,29,41,0.41429,-10,3.97,1.28,0.3131,4.1,3.97
117,Houston Astros,2026,32,39,0.4507,-36,4.9,1.44,0.3223,4.57746,4.9
118,Kansas City Royals,2026,28,42,0.4,-52,4.45,1.39,0.3073,3.95714,4.45
108,Los Angeles Angels,2026,28,42,0.4,-41,4.64,1.44,0.3131,4.45714,4.64
119,Los Angeles Dodgers,2026,44,26,0.62857,137,3.36,1.1,0.344,5.35714,3.36
146,Miami Marlins,2026,35,35,0.5,-1,4.11,1.25,0.3142,4.34286,4.11
158,Milwaukee Brewers,2026,42,25,0.62687,109,3.42,1.21,0.3234,5.34328,3.42
142,Minnesota Twins,2026,32,39,0.4507,-40,4.81,1.4,0.3157,4.60563,4.81
121,New York Mets,2026,31,38,0.44928,-16,3.9,1.28,0.2923,4.04348,3.9
147,New York Yankees,2026,41,27,0.60294,100,3.36,1.18,0.3361,5.10294,3.36
143,Philadelphia Phillies,2026,37,32,0.53623,-20,4.04,1.3,0.3016,4.0,4.04
134,Pittsburgh Pirates,2026,35,35,0.5,15,4.26,1.31,0.3281,5.05714,4.26
135,San Diego Padres,2026,35,33,0.51471,-19,3.95,1.29,0.2893,3.79412,3.95
137,San Francisco Giants,2026,28,42,0.4,-55,4.56,1.4,0.3164,4.14286,4.56
136,Seattle Mariners,2026,37,34,0.52113,34,3.57,1.18,0.3186,4.32394,3.57
138,St. Louis Cardinals,2026,37,30,0.55224,10,4.1,1.34,0.3172,4.56716,4.1
139,Tampa Bay Rays,2026,40,26,0.60606,11,3.92,1.23,0.3188,4.54545,3.92
140,Texas Rangers,2026,34,35,0.49275,7,3.74,1.23,0.3102,4.0,3.74
141,Toronto Blue Jays,2026,34,36,0.48571,-15,4.08,1.27,0.3097,4.12857,4.08
120,Washington Nationals,2026,35,35,0.5,-1,4.74,1.39,0.3253,5.34286,4.74
