"GameId","Season","SeasonType","StartDate","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"212784","2026","regular","2025-11-03T13:00:00.000Z","Winthrop","81","Queens University","74","ESPN BET","163.5","-3.5","4.5","162.5","",""
"209784","2026","regular","2025-11-03T16:00:00.000Z","St. Bonaventure","69","Bradley","63","ESPN BET","139.5","1.5","1.5","140.5","",""
"212786","2026","regular","2025-11-03T18:30:00.000Z","Murray State","85","Omaha","77","ESPN BET","153.5","-5.5","-4.5","148.5","",""
"212787","2026","regular","2025-11-03T21:00:00.000Z","Drake","77","Northern Arizona","71","ESPN BET","144.5","-8.5","-8.5","143.5","",""
"212790","2026","regular","2025-11-03T23:30:00.000Z","Eastern Michigan","71","Georgia State","49","ESPN BET","149.5","-3.5","-3.5","150.5","",""
"212773","2026","regular","2025-11-03T23:30:00.000Z","St. John's","108","Quinnipiac","74","ESPN BET","156.5","-26.5","-27.5","157.5","",""
"212765","2026","regular","2025-11-03T23:30:00.000Z","Maryland","83","Coppin State","61","ESPN BET","139.5","-28.5","-29.5","140.5","",""
"212759","2026","regular","2025-11-03T23:30:00.000Z","Ohio State","118","IU Indianapolis","102","ESPN BET","171.5","-33.5","-30.5","159.5","",""
"209770","2026","regular","2025-11-03T23:30:00.000Z","Georgetown","87","Morgan State","70","ESPN BET","154.5","-27.5","-24.5","154.5","",""
"212791","2026","regular","2025-11-03T23:30:00.000Z","High Point","97","Furman","71","ESPN BET","153.5","3.5","3.5","153.5","",""
"212799","2026","regular","2025-11-03T23:30:00.000Z","Buffalo","85","Southern Miss","79","ESPN BET","153.5","-3.5","","153.5","",""
"209754","2026","regular","2025-11-04T00:00:00.000Z","Syracuse","85","Binghamton","47","ESPN BET","153.5","-21.5","-20.5","150.5","",""
"209756","2026","regular","2025-11-04T00:00:00.000Z","Pittsburgh","74","Youngstown State","59","ESPN BET","145.5","-14.5","-13.5","149.5","",""
"209757","2026","regular","2025-11-04T00:00:00.000Z","North Carolina","94","Central Arkansas","54","ESPN BET","157.5","-31.5","-33.5","156.5","",""
"209758","2026","regular","2025-11-04T00:00:00.000Z","NC State","114","North Carolina Central","66","ESPN BET","145.5","-31.5","-30.5","147.5","",""
"209761","2026","regular","2025-11-04T00:00:00.000Z","Florida Atlantic","83","Boston College","78","ESPN BET","148.5","-1.5","-1.5","149.5","",""
"209763","2026","regular","2025-11-04T00:00:00.000Z","Rhode Island","93","Stetson","62","ESPN BET","152.5","-18.5","-16.5","152.5","",""
"209767","2026","regular","2025-11-04T00:00:00.000Z","Duquesne","83","Niagara","63","ESPN BET","139.5","-17.5","-14.5","139.5","",""
"209768","2026","regular","2025-11-04T00:00:00.000Z","Dayton","88","Canisius","48","ESPN BET","142.5","-25.5","-24.5","143.5","",""
"209771","2026","regular","2025-11-04T00:00:00.000Z","Clemson","88","New Hampshire","38","ESPN BET","146.5","-29.5","-27.5","146.5","",""
"209772","2026","regular","2025-11-04T00:00:00.000Z","UConn","79","New Haven","55","ESPN BET","145.5","-42.5","-40.5","146.5","",""
