team,last5_margin,last10_margin,last5_winpct
A&MTexas,-4.0,-4.0,0.0
AUM,-27.0,-27.0,0.0
Abilene Christian,-1.4,-10.6,0.4
Adams St.,-11.0,-11.0,0.0
Adrian,-45.0,-45.0,0.0
Air Force,-25.2,-17.2,0.0
Akron,11.8,16.8,1.0
Alabama,2.4,5.6,0.4
Alabama A&M,-3.8,0.4,0.4
Alabama St.,-7.0,-6.6,0.0
Alas. Anchorage,-36.0,-36.0,0.0
Albany,-2.6,-2.0,0.2
Albany St. (GA),-16.0,-16.0,0.0
Alcorn St.,-5.8,-10.0,0.4
Alfred St.,-68.0,-68.0,0.0
Alice Lloyd,-50.0,-50.0,0.0
Allegheny,-41.0,-41.0,0.0
American,-3.0,4.4,0.0
Angelo St.,-23.0,-23.0,0.0
Appalachian St.,-3.4,-2.6,0.2
Apprentice,-36.0,-36.0,0.0
Aquinas,-81.0,-81.0,0.0
Arcadia,-22.0,-22.0,0.0
Arizona,11.6,14.6,1.0
Arizona St.,-22.2,-8.6,0.4
Arkansas,6.8,1.6,1.0
Arkansas Baptist,-13.0,-15.6667,0.0
Arkansas Pine Bluff,12.2,6.0,0.4
Arkansas St.,9.0,10.0,0.6
Arkansas Tech,-44.0,-44.0,0.0
Arlington Baptist,-59.4,-59.3333,0.0
Army,-6.8,-5.2,0.0
Auburn,0.8,0.8,0.4
Austin Peay,-2.0,-2.6,0.4
Averett,-59.0,-59.0,0.0
BYU,8.0,2.2,0.6
Ball St.,14.8,8.6,1.0
Baptist U. (FL),-73.0,-73.0,0.0
Baylor,6.2,0.6,0.4
Bellarmine,-1.2,-0.8,0.6
Belmont,-3.6,8.4,0.2
Belmont Abbey,-48.0,-48.0,0.0
Benedictine IL,-55.0,-55.0,0.0
Benedictine Mesa,-52.0,-52.0,0.0
Berea,-22.0,-22.0,0.0
Bethany (WV),-42.0,-42.0,0.0
Bethel (TN),-31.0,-31.0,0.0
Bethesda (CA),-52.8,-53.8,0.0
Bethune Cookman,-2.6,1.8,0.2
Biblical Stud. (TX),-60.8,-52.4,0.0
Binghamton,1.0,1.0,0.8
Blackburn,-56.0,-56.0,0.0
Bloomfield Col.,-2.0,-2.0,0.0
Bloomsburg,-40.0,-40.0,0.0
Blue Mountain (MS),-41.5,-41.5,0.0
Bluefield St.,-16.0,-16.0,0.0
Bluefield Univ.,-29.0,-29.0,0.0
Bob Jones,-49.8,-51.6667,0.0
Boise St.,2.2,7.2,0.6
Boston College,-4.8,-9.2,0.4
Boston University,-4.8,1.4,0.6
Bowie St.,-16.0,-16.0,0.0
Bowling Green,6.6,0.6,0.6
Boyce,-50.0,-50.0,0.0
Bradley,2.6,3.6,0.6
Brandeis,-18.0,-18.0,0.0
Brescia,-32.0,-32.0,0.0
Brevard,-14.0,-14.0,0.0
Brewton-Parker,-17.5,-17.5,0.0
Brown,-14.4,-6.6,0.0
Bry. & Strat. (Alb.),-56.0,-56.0,0.0
Bry. & Strat. (OH) USCAA,-38.0,-38.0,0.0
Bryan,-47.6,-54.75,0.0
Bryant,-6.6,-6.4,0.2
Bucknell,0.0,-2.4,0.4
Buena Vista,-46.0,-46.0,0.0
Buffalo,-8.2,-7.4,0.2
Butler,-3.4,-4.2,0.4
CCNY,-61.5,-61.5,0.0
Cal Baptist,16.2,17.4,1.0
Cal Poly,7.2,0.2,0.4
Cal Poly Humboldt,-30.0,-30.0,0.0
Cal St. Bakersfield,-13.8,-11.0,0.0
Cal St. Fullerton,1.4,2.4,0.6
Cal St. Northridge,-4.6,-5.4,0.4
Caldwell,-28.0,-28.0,0.0
California,-3.0,-2.8,0.2
Caltech,-54.0,-54.0,0.0
Calumet Col.,-41.0,-41.0,0.0
Cameron,-30.0,-30.0,0.0
Camp. Harrodsburg,-43.0,-43.0,0.0
Campbell,3.4,5.2,0.6
Canisius,-3.8,-3.6,0.4
Capital,-1.0,-1.0,0.0
CarolinaU,-49.2,-48.6667,0.0
Catawba,-24.0,-24.0,0.0
Cent. Christian Bib.,-13.0,-13.0,0.0
Centenary,-49.0,-49.0,0.0
Central,-37.0,-37.0,0.0
Central Arkansas,4.6,5.6,0.6
Central Connecticut,-1.6,-4.2,0.6
Central Michigan,-10.6,-2.6,0.2
Central Penn,-47.2,-43.3333,0.0
Central St. (OH),-32.5,-32.5,0.0
CentralNorth Carolina,44.0,44.0,1.0
Chaminade,-27.8,-24.0,0.0
Champion Chris.,-56.0,-56.6,0.0
Charleston,-6.0,3.2,0.6
