date,home_team,away_team,home_score,away_score,margin,neutral_site,closing_spread
2020-11-25,Alabama,Jacksonville St.,81,57,24,,-20.8
2020-11-25,Arkansas,Mississippi Valley St.,142,62,80,,-32.5
2020-11-25,Army,Merchant Marine,93,32,61,,
2020-11-25,BYU,Westminster (UT),108,59,49,,
2020-11-25,Bradley,Toledo,61,59,2,,-4.4
2020-11-25,Butler,Western Michigan,66,62,4,,-15.8
2020-11-25,Cal St. Northridge,Westmont,97,79,18,,
2020-11-25,Chattanooga,Lander,99,63,36,,
2020-11-25,Connecticut,Central Connecticut,102,75,27,,-23.8
2020-11-25,Davidson,High Point,82,73,9,,-20.2
2020-11-25,East Tennessee St.,Abilene Christian,47,70,-23,,5.5
2020-11-25,Elon,N.C. Wesleyan,82,52,30,,
2020-11-25,FIU,Flagler,85,81,4,,
2020-11-25,Florida Gulf Coast,Florida A&M,65,56,9,,-6.8
2020-11-25,Fresno St.,William Jessup,87,47,40,,
2020-11-25,Furman,Tusculum,95,62,33,,
2020-11-25,Georgetown,UMBC,70,62,8,,-6.4
2020-11-25,Georgia Southern,Florida National,97,65,32,,
2020-11-25,Georgia Tech,Georgia St.,120,123,-3,,-8.0
2020-11-25,Grand Canyon,Grambling St.,69,53,16,,-9.7
2020-11-25,Houston,Lamar,89,45,44,,-18.9
2020-11-25,Illinois,North Carolina A&T,122,60,62,,-23.0
2020-11-25,Indiana,Tennessee Tech,89,59,30,,-19.7
2020-11-25,Iowa,North Carolina Central,97,67,30,,-24.2
2020-11-25,Jacksonville,Coastal Georgia,99,57,42,,
2020-11-25,James Madison,Limestone,89,55,34,,
2020-11-25,Kansas St.,Drake,70,80,-10,,-8.5
2020-11-25,Kennesaw St.,Carver,87,40,47,,
2020-11-25,Kentucky,Morehead St.,81,45,36,,-22.9
2020-11-25,Louisville,Evansville,79,44,35,,-21.1
2020-11-25,Loyola Marymount,Southern Utah,85,83,2,,-6.1
2020-11-25,Marquette,Arkansas Pine Bluff,99,57,42,,-16.9
2020-11-25,Maryland,Old Dominion,85,67,18,,-3.0
2020-11-25,Mercer,North Georgia,79,48,31,,
2020-11-25,Miami OH,North Dakota,81,67,14,,-11.2
2020-11-25,Michigan,Bowling Green,96,82,14,,-16.6
2020-11-25,Michigan St.,Eastern Michigan,83,67,16,,-15.3
2020-11-25,Minnesota,Green Bay,99,69,30,,-20.9
2020-11-25,Mississippi St.,Clemson,42,53,-11,,3.4
2020-11-25,Missouri,Oral Roberts,91,64,27,,-16.3
2020-11-25,Morgan St.,Mount St. Mary's,55,62,-7,,0.3
2020-11-25,N.C. State,Charleston SouthernNorth Carolina St.,95,61,34,,-18.5
2020-11-25,Navy,George Washington,78,71,7,,-3.6
2020-11-25,Nebraska,McNeese St.,102,55,47,,-17.5
2020-11-25,Nebraska Omaha,Austin Peay,66,72,-6,,5.9
2020-11-25,Nevada,North Dakota St.,62,48,14,,-6.9
2020-11-25,New Hampshire,Keene State,93,54,39,,
2020-11-25,North Alabama,Oakwood,98,74,24,,
2020-11-25,North Carolina,College of Charleston,79,60,19,,-16.6
2020-11-25,North Florida,Eastern Kentucky,67,80,-13,,8.2
2020-11-25,Northern Illinois,Illinois Chicago,61,65,-4,,-0.6
2020-11-25,Northern Kentucky,Ball St.,74,73,1,,-0.5
2020-11-25,Ohio,Chicago St.,84,61,23,,-16.1
2020-11-25,Ohio St.,Illinois St.,94,67,27,,-18.4
2020-11-25,Oregon St.,California,71,63,8,,1.4
2020-11-25,Pacific,UC Riverside,66,60,6,,-6.5
2020-11-25,Pittsburgh,St. Francis PA,70,80,-10,,-16.6
2020-11-25,Portland,Seattle,72,84,-12,,-4.0
2020-11-25,Prairie View A&M,Little Rock,66,71,-5,,14.5
2020-11-25,Providence,Fairfield,97,56,41,,-20.4
2020-11-25,Purdue,Liberty,77,64,13,,-8.4
2020-11-25,Purdue Fort Wayne,Southeastern LouisianaFort Wayne,67,63,4,,-4.8
2020-11-25,Quinnipiac,Fairleigh Dickinson,84,66,18,,3.4
2020-11-25,Rhode Island,Arizona St.,88,94,-6,,6.8
2020-11-25,Rutgers,Sacred Heart,86,63,23,,-26.4
2020-11-25,SMU,Sam Houston St.,97,67,30,,-19.1
2020-11-25,Sacramento St.,Bethesda (CA),101,57,44,,
2020-11-25,Saint Louis,SIU Edwardsville,89,52,37,,-27.8
2020-11-25,Saint Mary's,Memphis,56,73,-17,,4.7
2020-11-25,San Diego St.,UCLA,73,58,15,,-0.2
2020-11-25,Santa Clara,Idaho St.,62,49,13,,-17.6
2020-11-25,South Alabama,Florida Atlantic,68,66,2,,-0.7
2020-11-25,South Carolina St.,Appalachian St.,61,81,-20,,9.4
2020-11-25,South Dakota,Colorado,61,84,-23,,18.3
2020-11-25,South Florida,Florida Col.,94,84,10,,
2020-11-25,St. John's,Saint Peter's,76,75,1,,-13.1
2020-11-25,TCU,Houston Baptist,69,45,24,,-24.4
2020-11-25,Tarleton St.,Dallas Christian,103,48,55,,
2020-11-25,Texas,UT Rio Grande Valley,91,55,36,,-27.1
2020-11-25,Texas A&M Corpus Chris,Texas A&M Intl,64,53,11,,
2020-11-25,Texas St.,Mary Hardin-Baylor,98,59,39,,
2020-11-25,Texas Tech,Northwestern St.,101,58,43,,-22.6
2020-11-25,The Citadel,Piedmont,89,64,25,,
2020-11-25,UAB,Alcorn St.,99,50,49,,-17.8
2020-11-25,UC Davis,Nicholls St.,93,101,-8,,-1.6
2020-11-25,UC Irvine,Pepperdine,72,86,-14,,3.7
2020-11-25,UMKC,Culver Stockton,105,35,70,,
2020-11-25,UMass Lowell,San Francisco,76,68,8,,11.9
2020-11-25,UNLV,Montana St.,78,91,-13,,-10.1
2020-11-25,USC,Cal Baptist,95,87,8,,-19.8
2020-11-25,USC Upstate,Southern Wesleyan,72,82,-10,,
2020-11-25,UT Arlington,Oklahoma St.,68,75,-7,,8.3
2020-11-25,UTEP,Tex. Permian Basin,100,81,19,,
2020-11-25,Utah St.,VCU,69,85,-16,,-1.9
2020-11-25,VMI,St. Andrews,0,0,0,,
2020-11-25,Villanova,Boston College,76,67,9,,-10.7
2020-11-25,Virginia,Towson,89,54,35,,-16.6
2020-11-25,Virginia Tech,Radford,77,62,15,,-19.2
2020-11-25,Wake Forest,Delaware St.,111,51,60,,-17.2
2020-11-25,Washington St.,Texas Southern,56,52,4,,-7.6
2020-11-25,Weber St.,Adams St.,88,60,28,,
2020-11-25,West Virginia,South Dakota St.,79,71,8,,-12.4
2020-11-25,Western Carolina,UNC Wilmington,98,76,22,,-3.5
2020-11-25,Western Kentucky,Northern Iowa,93,87,6,,0.2
2020-11-25,Wisconsin,Eastern Illinois,77,67,10,,-17.5
2020-11-25,Wofford,Toccoa Falls,88,49,39,,
2020-11-25,Xavier,Oakland,101,49,52,,-17.2
2020-11-26,BYU,New Orleans,86,61,25,,-23.9
2020-11-26,California,Northwest (WA),86,61,25,,
2020-11-26,East Tennessee St.,Austin Peay,66,67,-1,,5.6
2020-11-26,George Mason,Queens (NC),66,65,1,,
2020-11-26,Howard,Belmont,78,95,-17,,14.9
2020-11-26,Illinois,Chicago St.,97,38,59,,-31.5
2020-11-26,Kansas,Gonzaga,90,102,-12,,2.5
2020-11-26,Mississippi St.,Liberty,73,84,-11,,-4.3
2020-11-26,Nebraska,Nevada,66,69,-3,,-5.5
2020-11-26,Nebraska Omaha,Middle Tennessee,60,59,1,,0.5
2020-11-26,North Texas,Mississippi Valley St.,116,62,54,,-32.7
2020-11-26,Ohio,North Carolina A&T,84,72,12,,-10.9
2020-11-26,Purdue,Clemson,70,81,-11,,-0.7
2020-11-26,Rhode Island,Boston College,64,69,-5,,-1.3
2020-11-26,SIU Edwardsville,LSU,81,94,-13,,23.7
2020-11-26,Saint Joseph's,Auburn,91,96,-5,,2.4
2020-11-26,Saint Mary's,Northern Iowa,66,64,2,,4.0
2020-11-26,Southern,North Carolina Central,78,85,-7,,-5.1
2020-11-26,St. John's,La Salle,82,65,17,,-9.0
2020-11-26,Toledo,Oakland,80,53,27,,-6.7
2020-11-26,Towson,San Francisco,68,79,-11,,6.3
2020-11-26,Utah St.,South Dakota St.,59,83,-24,,0.6
2020-11-26,Utah Valley,Adams St.,100,75,25,,
2020-11-26,Villanova,Arizona St.,83,74,9,,-2.8
2020-11-26,West Virginia,VCU,78,66,12,,-12.2
2020-11-26,Western Kentucky,Memphis,75,69,6,,1.8
2020-11-26,Xavier,Bradley,51,50,1,,-9.7
2020-11-27,Appalachian St.,Carver,105,23,82,,
2020-11-27,Arizona,Grambling St.,74,55,19,,-20.0
2020-11-27,Austin Peay,Abilene Christian,72,80,-8,,2.7
2020-11-27,Cal Poly,Bethesda (CA),100,46,54,,
2020-11-27,Central Connecticut,Army,57,79,-22,,-0.1
2020-11-27,Charlotte,East Carolina,57,66,-9,,-1.2
2020-11-27,Connecticut,Hartford,69,57,12,,-20.6
2020-11-27,Eastern Kentucky,Charleston Southern,60,50,10,,-5.3
2020-11-27,FIU,Flagler,82,75,7,,
2020-11-27,George Mason,Belmont,67,77,-10,,-3.7
2020-11-27,Georgia St.,Toccoa Falls,105,60,45,,
2020-11-27,Georgia Tech,Mercer,73,83,-10,,-14.5
2020-11-27,Gonzaga,Auburn,90,67,23,,-15.3
2020-11-27,Houston,Boise St.,68,58,10,,-9.6
2020-11-27,Illinois,Ohio,77,75,2,,-14.4
2020-11-27,Incarnate Word,Rice,53,68,-15,,-2.1
2020-11-27,Iowa,Southern,103,76,27,,-20.1
2020-11-27,Jacksonville St.,Florida Atlantic,60,50,10,,5.3
2020-11-27,James Madison,Norfolk St.,73,83,-10,,-0.8
2020-11-27,Kansas St.,Colorado,58,76,-18,,-0.2
2020-11-27,Louisiana Tech,UT Arlington,76,71,5,,-8.7
2020-11-27,Louisville,Seton Hall,71,70,1,,-6.0
2020-11-27,Marquette,Eastern Illinois,75,50,25,,-12.7
2020-11-27,Marshall,Arkansas St.,70,56,14,,-17.2
2020-11-27,Maryland,Navy,82,52,30,,-13.0
2020-11-27,Middle Tennessee,East Tennessee St.,43,57,-14,,0.2
2020-11-27,N.C. State,North FloridaNorth Carolina St.,86,51,35,,-24.3
2020-11-27,Nicholls St.,Idaho St.,70,51,19,,-3.5
2020-11-27,North Carolina A&T,Chicago St.,74,44,30,,-6.6
2020-11-27,Oakland,Bradley,60,74,-14,,12.0
2020-11-27,Oregon St.,Northwest (WA),114,42,72,,
2020-11-27,Prairie View A&M,Evansville,64,61,3,,1.8
2020-11-27,Queens (NC),Howard,85,71,14,,
2020-11-27,Richmond,Morehead St.,82,64,18,,-18.2
2020-11-27,Rutgers,Fairleigh Dickinson,96,75,21,,-20.1
2020-11-27,Saint Joseph's,Kansas,72,94,-22,,14.6
2020-11-27,Saint Peter's,La Salle,62,51,11,,2.5
2020-11-27,San Diego St.,UC Irvine,77,58,19,,-11.3
2020-11-27,Santa Clara,UC Davis,66,63,3,,-13.3
2020-11-27,South Alabama,Mobile,95,75,20,,
2020-11-27,South Dakota,Drake,53,69,-16,,12.5
2020-11-27,South Dakota St.,Saint Mary's,59,72,-13,,-1.2
2020-11-27,Syracuse,Bryant,85,84,1,,-23.6
2020-11-27,Texas Tech,Sam Houston St.,84,52,32,,-27.8
2020-11-27,Towson,Buffalo,65,74,-9,,5.1
2020-11-27,Tulane,Lamar,66,57,9,,-0.9
2020-11-27,UCLA,Pepperdine,107,98,9,,-5.7
2020-11-27,UMKC,Greenville,138,97,41,,
2020-11-27,UNC Asheville,UNC Wilmington,68,76,-8,,-3.7
2020-11-27,UNC Greensboro,Little Rock,77,70,7,,-5.2
2020-11-27,UTSA,Tex. Permian Basin,97,71,26,,
2020-11-27,Utah St.,Northern Iowa,82,71,11,,6.5
2020-11-27,VCU,Memphis,70,59,11,,7.7
2020-11-27,Vanderbilt,Valparaiso,77,71,6,,-5.0
2020-11-27,Virginia,San Francisco,60,61,-1,,-12.9
2020-11-27,Wake Forest,Longwood,71,60,11,,-16.4
2020-11-27,West Virginia,Western Kentucky,70,64,6,,-6.4
2020-11-27,Western Carolina,Troy,64,66,-2,,-6.9
2020-11-27,William Jessup,Seattle,53,77,-24,,
2020-11-27,Wisconsin,Arkansas Pine Bluff,92,58,34,,-24.0
2020-11-27,Xavier,Toledo,76,73,3,,-11.8
2020-11-28,Arkansas,North Texas,69,54,15,,-2.6
2020-11-28,BYU,Utah Valley,82,60,22,,-21.4
2020-11-28,Bowling Green,South Carolina St.,101,78,23,,-26.0
2020-11-28,Buffalo,Army,74,78,-4,,-8.0
2020-11-28,Cal St. Northridge,Air Force,61,66,-5,,7.0
2020-11-28,Charleston,LimestoneCollege of,99,59,40,,
2020-11-28,Coastal Carolina,N.C. Wesleyan,117,68,49,,
2020-11-28,Denver,Regis CO,82,66,16,,
2020-11-28,Duke,Coppin St.,81,71,10,,-29.9
2020-11-28,Elon,High Point,76,75,1,,-7.0
2020-11-28,Furman,USC Upstate,91,63,28,,-16.4
2020-11-28,Georgia Southern,Coastal Georgia,91,79,12,,
2020-11-28,Grand Canyon,Benedictine Mesa,94,63,31,,
2020-11-28,Howard,George Mason,70,84,-14,,17.7
2020-11-28,Illinois Chicago,Central Michigan,74,72,2,,-7.6
2020-11-28,Jacksonville,Southern Miss,66,51,15,,1.1
2020-11-28,Kennesaw St.,Toccoa Falls,106,44,62,,
2020-11-28,Lipscomb,Lamar,76,73,3,,-1.5
2020-11-28,Louisiana Lafayette,Baylor,82,112,-30,,20.0
2020-11-28,Michigan St.,Notre Dame,80,70,10,,-7.5
2020-11-28,Minnesota,Loyola Marymount,88,73,15,,-13.2
2020-11-28,Mobile,Florida Atlantic,41,83,-42,,
2020-11-28,Navy,Mount St. Mary's,73,67,6,,-3.1
2020-11-28,Nebraska,North Dakota St.,79,57,22,,-12.7
2020-11-28,Nebraska Omaha,Abilene Christian,58,70,-12,,9.4
2020-11-28,Oklahoma St.,Texas Southern,85,65,20,,-16.7
2020-11-28,Old Dominion,William & Mary,86,78,8,,-19.2
2020-11-28,Oral Roberts,Rogers St.,93,63,30,,
2020-11-28,Penn St.,VMI,86,65,21,,-18.7
2020-11-28,Pittsburgh,Drexel,83,74,9,,-8.4
2020-11-28,Portland,William Jessup,83,73,10,,
2020-11-28,Queens (NC),Belmont,61,73,-12,,
2020-11-28,Radford,Norfolk St.,54,57,-3,,6.4
2020-11-28,Rice,Our Lady of the Lake,103,64,39,,
2020-11-28,Saint Louis,LSU,85,81,4,,-7.7
2020-11-28,Santa Clara,Nicholls St.,73,57,16,,-12.1
2020-11-28,South Carolina,Liberty,62,78,-16,,-6.6
2020-11-28,South Florida,Rhode Island,68,84,-16,,-0.1
2020-11-28,Southern Utah,St. Katherine,95,47,48,,
2020-11-28,St. Francis PA,UMBC,65,80,-15,,1.7
2020-11-28,St. Louis Pharmacy,SIU Edwardsville,45,80,-35,,
2020-11-28,Texas A&M Corpus Chris,Texas St.,63,75,-12,,6.4
2020-11-28,Tulsa,TCU,65,70,-5,,2.0
2020-11-28,UAB,Southeastern Louisiana,84,59,25,,-16.9
2020-11-28,UC Davis,Idaho St.,70,61,9,,-5.6
2020-11-28,UC Irvine,Bethesda (CA),135,55,80,,
2020-11-28,UMKC,Southeast Missouri St.,66,71,-5,,-3.5
2020-11-28,UMass Lowell,Illinois St.,72,82,-10,,5.0
2020-11-28,UNC Asheville,Western Carolina,81,83,-2,,1.4
2020-11-28,UNC Wilmington,Troy,73,50,23,,-1.3
2020-11-28,USC,Montana,76,62,14,,-10.1
2020-11-28,UT Arlington,Northwestern St.,80,71,9,,-1.9
2020-11-28,UT Rio Grande Valley,UTSA,81,64,17,,9.0
2020-11-28,Virginia Tech,Villanova,81,73,8,,6.5
2020-11-28,Washington St.,Eastern Washington,71,68,3,,-3.7
2020-11-28,Wofford,Carver,111,37,74,,
2020-11-28,Wyoming,Mississippi Valley St.,97,61,36,,-28.6
2020-11-29,Arizona Christian,New Mexico St.,77,83,-6,,
2020-11-29,Arizona St.,Houston Baptist,100,77,23,,-36.9
2020-11-29,Creighton,North Dakota St.,69,58,11,,-22.8
2020-11-29,Georgia,Florida A&M,85,75,10,,-14.9
2020-11-29,Incarnate Word,Our Lady of the Lake,84,71,13,,
2020-11-29,Iowa St.,Arkansas Pine Bluff,80,63,17,,-17.7
2020-11-29,James Madison,Radford,67,59,8,,-6.9
2020-11-29,Kentucky,Richmond,64,76,-12,,-6.8
2020-11-29,Louisiana Tech,Northwestern St.,91,77,14,,-12.6
2020-11-29,Louisville,Prairie View A&M,86,64,22,,-24.7
2020-11-29,Maryland,Mount St. Mary's,79,61,18,,-18.4
2020-11-29,Miami FL,North Florida,77,59,18,,-26.3
2020-11-29,Michigan,Oakland,81,71,10,,-27.0
2020-11-29,Morehead St.,Arkansas St.,69,61,8,,-3.2
2020-11-29,Murray St.,Greenville,173,95,78,,
2020-11-29,Ohio St.,UMass Lowell,74,64,10,,-26.7
2020-11-29,Portland,Northwest (WA),74,69,5,,
2020-11-29,Rutgers,Hofstra,70,56,14,,-16.3
2020-11-29,Sam Houston St.,Boise St.,55,86,-31,,14.3
2020-11-29,Samford,Alabama A&M,76,78,-2,,-7.9
2020-11-29,San Francisco,Rhode Island,71,84,-13,,3.3
2020-11-29,Seattle,Air Force,63,45,18,,1.7
2020-11-29,South Alabama,Jacksonville St.,73,77,-4,,-6.1
2020-11-29,TCU,Liberty,56,52,4,,-3.4
2020-11-29,Texas A&M,New Orleans,82,53,29,,-19.1
2020-11-29,Texas Tech,Houston,53,64,-11,,-2.7
2020-11-29,Tulane,Lipscomb,68,66,2,,0.4
2020-11-29,Tulsa,South Carolina,58,69,-11,,-1.1
2020-11-29,UC Santa Barbara,St. Katherine,92,55,37,,
2020-11-29,Virginia Tech,South Florida,76,58,18,,-3.9
2020-11-29,Washington,Baylor,52,86,-34,,5.6
2020-11-30,Appalachian St.,Bowling Green,76,78,-2,,3.9
2020-11-30,California,Nicholls St.,60,49,11,,-13.9
2020-11-30,Campbell,St. Andrews,85,51,34,,
2020-11-30,Hofstra,Fairleigh Dickinson,73,58,15,,-5.6
2020-11-30,Kansas St.,UMKC,62,58,4,,-17.0
2020-11-30,LSU,Southeastern Louisiana,96,43,53,,-22.5
2020-11-30,Little Rock,Duquesne,76,66,10,,4.0
2020-11-30,Mercer,Georgia St.,86,69,17,,2.8
2020-11-30,Minnesota,Loyola Marymount,67,64,3,,-13.4
2020-11-30,Mississippi St.,Texas St.,68,51,17,,-3.5
2020-11-30,Mobile,Jacksonville St.,66,85,-19,,
2020-11-30,Nevada,Pacific,70,58,12,,-2.7
2020-11-30,Providence,Indiana,58,79,-21,,-0.3
2020-11-30,SMU,Texas A&M Corpus Chris,91,54,37,,-18.0
2020-11-30,Seattle,Cal St. Northridge,65,76,-11,,-7.8
2020-11-30,Seton Hall,Iona,86,64,22,,-19.4
2020-11-30,St. John's,Boston College,97,93,4,,-3.1
2020-11-30,Stanford,Alabama,82,64,18,,-1.0
2020-11-30,Stetson,Emmanuel (GA),61,64,-3,,
2020-11-30,Tennessee Tech,Chattanooga,54,62,-8,,-1.0
2020-11-30,Texas,Davidson,78,76,2,,-9.8
2020-11-30,UCF,Auburn,63,55,8,,-0.9
2020-11-30,UNLV,North Carolina,51,78,-27,,11.8
2020-11-30,Western Carolina,Piedmont,96,58,38,,
2020-11-30,Wyoming,Texas Southern,74,76,-2,,-10.6
2020-11-30,Xavier,Eastern Kentucky,99,96,3,,-13.4
2020-12-01,Abilene Christian,Howard Payne,81,51,30,,
2020-12-01,Bradley,Judson (IL),105,32,73,,
2020-12-01,Charleston Southern,North Carolina A&T,63,70,-7,,-2.0
2020-12-01,Creighton,Nebraska Omaha,94,67,27,,-22.4
2020-12-01,Dayton,Eastern Illinois,66,63,3,,-9.6
2020-12-01,Duke,Michigan St.,69,75,-6,,-1.9
2020-12-01,East Carolina,N.C. Wesleyan,91,62,29,,
2020-12-01,FIU,Central Michigan,96,76,20,,-10.1
2020-12-01,George Washington,Hampton,78,82,-4,,-13.1
2020-12-01,Georgetown,Navy,71,78,-7,,-8.4
2020-12-01,Grand Canyon,Mississippi Valley St.,88,49,39,,-24.7
2020-12-01,Illinois Chicago,Valparaiso,66,50,16,,-1.1
2020-12-01,Kentucky,Kansas,62,65,-3,,1.9
2020-12-01,Louisville,Western Kentucky,75,54,21,,-4.0
2020-12-01,Marquette,Oklahoma St.,62,70,-8,,-2.9
2020-12-01,Morgan St.,Lincoln PA,102,94,8,,
2020-12-01,Nebraska,South Dakota,76,69,7,,-18.9
2020-12-01,New Hampshire,Bryant,85,93,-8,,-6.8
2020-12-01,New Mexico St.,Benedictine Mesa,92,54,38,,
2020-12-01,Providence,Davidson,63,62,1,,-3.8
2020-12-01,Purdue,Oakland,93,50,43,,-19.3
2020-12-01,Saint Mary's,Nicholls St.,73,50,23,,-14.8
2020-12-01,Saint Peter's,Stony Brook,82,68,14,,-8.8
2020-12-01,Samford,Covenant,98,73,25,,
2020-12-01,South Alabama,Emmanuel (GA),86,47,39,,
2020-12-01,Stanford,North Carolina,63,67,-4,,0.4
2020-12-01,Stephen F. Austin,LeTourneau,102,57,45,,
2020-12-01,Texas,Indiana,66,44,22,,-1.9
2020-12-01,Toledo,Cleveland St.,70,61,9,,-7.4
2020-12-01,UNC Greensboro,Winthrop,67,75,-8,,-7.2
2020-12-01,UNLV,Alabama,74,86,-12,,9.4
2020-12-01,USC,BYU,79,53,26,,1.3
2020-12-01,VMI,Longwood,84,71,13,,-5.8
2020-12-01,Villanova,Hartford,87,53,34,,-19.8
2020-12-01,Virginia,St. Francis PA,76,51,25,,-22.4
2020-12-01,Washington,UC Riverside,42,57,-15,,-10.3
2020-12-01,Wisconsin,Green Bay,82,42,40,,-26.5
2020-12-02,Arkansas,UT Arlington,72,60,12,,-13.3
2020-12-02,Cal Baptist,Southeastern Louisiana,80,81,-1,,-7.0
2020-12-02,Cincinnati,Lipscomb,67,55,12,,-16.1
2020-12-02,Clemson,South Carolina St.,75,38,37,,-30.5
2020-12-02,Dixie St.,North Dakota,74,73,1,,14.5
2020-12-02,Fairfield,Hartford,61,66,-5,,-3.1
2020-12-02,Flagler,Central Michigan,92,73,19,,
2020-12-02,Florida,Army,76,69,7,,-20.1
2020-12-02,Florida St.,North Florida,86,58,28,,-26.9
2020-12-02,Furman,Southern Wesleyan,89,49,40,,
2020-12-02,Georgia,North Georgia,84,62,22,,
2020-12-02,Illinois,Baylor,69,82,-13,,3.6
2020-12-02,Illinois St.,Greenville,177,108,69,,
2020-12-02,Iowa St.,South Dakota St.,68,71,-3,,-2.8
2020-12-02,Jacksonville,Presbyterian,78,65,13,,-14.4
2020-12-02,Kent St.,Point Park,90,41,49,,
2020-12-02,LafayetteNew Orleans,Louisiana,63,66,-3,,5.0
2020-12-02,McNeese St.,Dallas Christian,140,37,103,,
2020-12-02,Memphis,Arkansas St.,83,54,29,,-21.6
2020-12-02,Michigan,Ball St.,84,65,19,,-15.5
2020-12-02,Middle Tennessee,Murray St.,78,61,17,,5.7
2020-12-02,Nevada,San Francisco,60,85,-25,,-3.7
2020-12-02,Norfolk St.,Old Dominion,66,80,-14,,4.2
2020-12-02,Northern Illinois,SIU Edwardsville,53,73,-20,,-11.5
2020-12-02,Northwestern,Arkansas Pine Bluff,92,49,43,,-18.3
2020-12-02,Ohio St.,Morehead St.,77,44,33,,-24.0
2020-12-02,Oregon,Missouri,75,83,-8,,-4.1
2020-12-02,Pacific,Montana St.,74,70,4,,-7.4
2020-12-02,Penn St.,VCU,72,69,3,,-5.4
2020-12-02,Providence,Alabama,71,88,-17,,-2.2
2020-12-02,Quinnipiac,Drexel,48,66,-18,,7.4
2020-12-02,Rhode Island,Seton Hall,76,63,13,,-1.5
2020-12-02,SMU,Houston Baptist,102,75,27,,-30.3
2020-12-02,San Diego St.,St. Katherine,83,41,42,,
2020-12-02,Santa Clara,Cal St. Bakersfield,53,47,6,,-8.3
2020-12-02,South Florida,Florida Gulf Coast,76,57,19,,-8.8
2020-12-02,Southeast Missouri St.,Southern Illinois,79,87,-8,,3.0
2020-12-02,Southern Miss,William Carey,80,53,27,,
2020-12-02,St. John's,BYU,68,74,-6,,-0.8
2020-12-02,Stanford,Indiana,63,79,-16,,0.6
2020-12-02,Tennessee Martin,Evansville,93,87,6,,3.9
2020-12-02,Texas,North Carolina,69,67,2,,-4.6
2020-12-02,Texas A&M,Tarleton St.,73,66,7,,-24.0
2020-12-02,UAB,Kennesaw St.,73,48,25,,-21.8
2020-12-02,UC Irvine,La Sierra,104,54,50,,
2020-12-02,UNC Greensboro,Duquesne,68,81,-13,,-1.3
2020-12-02,UNLV,Davidson,73,77,-4,,6.1
2020-12-02,USC Upstate,Eastern Kentucky,78,95,-17,,6.3
2020-12-02,UT Rio Grande Valley,Texas A&M Corpus Chris,62,59,3,,-4.8
2020-12-02,Utah Valley,Westminster (UT),79,71,8,,
2020-12-02,Washington St.,Oregon St.,59,55,4,,-0.4
