Team,Seed,ModelRank
Michigan,1,1
Alabama,4,2
Duke,1,3
Arizona,1,4
Florida,1,5
Houston,2,6
Illinois,3,7
Purdue,2,8
Connecticut,2,9
Iowa State,2,10
Texas Tech,5,11
Michigan State,3,12
Virginia,3,13
Tennessee,6,14
Vanderbilt,5,15
Louisville,6,16
St. John's,5,17
Gonzaga,3,18
Cornell,0,19
IU Indy,0,20
Arkansas St.,0,21
Cal St. Northridge,0,22
FIU,0,23
Cal St. Fullerton,0,24
Cal Poly,0,25
Murray State,0,26
William & Mary,0,27
Arkansas,4,28
Charleston Southern,0,29
Sacramento St.,0,30
Lindenwood,0,31
Kennesaw St.,14,32
Nebraska,4,33
Prairie View A&M,0,34
Queens,15,35
Idaho St.,0,36
Incarnate Word,0,37
Morehead St.,0,38
Bellarmine,0,39
Denver,0,40
Boston University,0,41
Marist,0,42
Stony Brook,0,43
Texas St.,0,44
Eastern Michigan,0,45
Utah Tech,0,46
Buffalo,0,47
Northeastern,0,48
UT Rio Grande Valley,0,49
Boston College,0,50
North Texas,0,51
Navy,0,52
Rhode Island,0,53
Robert Morris,0,54
Middle Tennessee,0,55
Valparaiso,0,56
Harvard,0,57
Oregon St.,0,58
Merrimack,0,59
Towson,0,60
Fordham,0,61
Texas A&M Corpus Chris,0,62
UT Arlington,0,63
Siena,16,64
Louisiana Tech,0,65
UMBC,16,66
Furman,15,67
East Tennessee St.,0,68
South Alabama,0,69
Missouri St.,0,70
Drexel,0,71
Jacksonville St.,0,72
James Madison,0,73
Rice,0,74
La Salle,0,75
San Francisco,0,76
UNC Wilmington,0,77
UC Santa Barbara,0,78
Montana St.,0,79
Troy,13,80
Temple,0,81
Charlotte,0,82
San Jose St.,0,83
Wofford,0,84
Western Michigan,0,85
UNC Greensboro,0,86
Sacred Heart,0,87
Appalachian St.,0,88
Green Bay,0,89
Eastern Kentucky,0,90
George Mason,0,91
Liberty,0,92
Florida Atlantic,0,93
Memphis,0,94
UAB,0,95
Montana,0,96
Western Kentucky,0,97
Massachusetts,0,98
Northern Kentucky,0,99
New Orleans,0,100
Tennessee St.,15,101
Quinnipiac,0,102
Tarleton St.,0,103
Georgia Southern,0,104
Lipscomb,0,105
Southern,0,106
Kent St.,0,107
Winthrop,0,108
Oakland,0,109
Campbell,0,110
Marshall,0,111
Saint Peter's,0,112
Princeton,0,113
Lamar,0,114
Vermont,0,115
UNC Asheville,0,116
SIU Edwardsville,0,117
Tennessee Martin,0,118
UTEP,0,119
Loyola Chicago,0,120
Ball St.,0,121
Presbyterian,0,122
Mercyhurst,0,123
Louisiana,0,124
Jacksonville,0,125
Southeastern Louisiana,0,126
UC San Diego,0,127
Southern Illinois,0,128
Fresno St.,0,129
Idaho,15,130
Central Arkansas,0,131
Loyola Marymount,0,132
Bowling Green,0,133
Penn,10,134
Portland St.,0,135
Austin Peay,0,136
UC Davis,0,137
Monmouth,0,138
Portland,0,139
Detroit Mercy,0,140
Charleston,0,141
Youngstown St.,0,142
New Mexico State,0,143
Tulane,0,144
Howard,0,145
Indiana St.,0,146
Columbia,0,147
San Diego,0,148
Drake,0,149
South Dakota St.,0,150
Southern Miss,0,151
Bethune Cookman,0,152
Western Carolina,0,153
Ohio,0,154
Coastal Carolina,0,155
Samford,0,156
LIU,0,157
Old Dominion,0,158
Florida Gulf Coast,0,159
Nebraska Omaha,0,160
Long Beach St.,0,161
Duquesne,0,162
