season,team,conf
2021,WCC,31-1
2021,B12,28-2
2021,Amer,28-4
2021,B10,24-7
2021,P12,25-8
2021,SEC,26-7
2021,ACC,18-7
2021,MVC,26-5
2021,BE,18-7
2021,MWC,23-5
2021,A10,16-5
2021,BW,22-5
2021,MAC,16-9
2021,Pat,14-2
2021,CUSA,18-10
2021,Horz,18-6
2021,BSky,16-8
2021,BSth,23-2
2021,ASun,23-6
2021,WAC,17-7
2021,SC,16-9
2021,Slnd,24-5
2021,OVC,26-4
2021,Sum,16-7
2021,MAAC,12-6
2021,CAA,13-7
2021,AE,10-5
2021,SB,16-6
2021,NEC,15-7
2021,MEAC,17-8
2021,SWAC,17-9
2022,Gonzaga,WCC
2022,Kansas,B12
2022,Baylor,B12
2022,Arizona,P12
2022,Duke,ACC
2022,Villanova,BE
2022,Kentucky,SEC
2022,Auburn,SEC
2022,Texas Tech,B12
2022,Tennessee,SEC
2022,Purdue,B10
2022,Wisconsin,B10
2022,UCLA,P12
2022,Illinois,B10
2022,Arkansas,SEC
2022,Providence,BE
2022,Houston,Amer
2022,Iowa,B10
2022,Saint Mary's,WCC
2022,Connecticut,BE
2022,Texas,B12
2022,LSU,SEC
2022,Alabama,SEC
2022,Colorado St.,MWC
2022,Ohio St.,B10
2022,Michigan St.,B10
2022,Murray St.,OVC
2022,USC,P12
2022,North Carolina,ACC
2022,San Diego St.,MWC
2022,Boise St.,MWC
2022,Seton Hall,BE
2022,Memphis,Amer
2022,TCU,B12
2022,Creighton,BE
2022,Marquette,BE
2022,San Francisco,WCC
2022,Miami FL,ACC
2022,Loyola Chicago,MVC
2022,Davidson,A10
2022,Virginia Tech,ACC
2022,Michigan,B10
2022,Notre Dame,ACC
2022,Iowa St.,B12
2022,Rutgers,B10
2022,Indiana,B10
2022,UAB,CUSA
2022,Wyoming,MWC
2022,New Mexico St.,WAC
2022,Richmond,A10
2022,Vermont,AE
2022,Chattanooga,SC
2022,South Dakota St.,Sum
2022,Akron,MAC
2022,Colgate,Pat
2022,Longwood,BSth
2022,Yale,Ivy
2022,Montana St.,BSky
2022,Saint Peter's,MAAC
2022,Delaware,CAA
2022,Jacksonville St.,ASun
2022,Cal St. Fullerton,BW
2022,Georgia St.,SB
2022,Bryant,NEC
2022,Wright St.,Horz
2022,Texas Southern,SWAC
2022,Norfolk St.,MEAC
2022,Texas A&M Corpus Chris,Slnd
2022,Oklahoma,B12
2022,Texas A&M,SEC
2022,Oklahoma St.,B12
2022,Wake Forest,ACC
2022,Washington St.,P12
2022,Dayton,A10
2022,Syracuse,ACC
2022,Xavier,BE
2022,St. John's,BE
2022,VCU,A10
2022,North Texas,CUSA
2022,Utah St.,MWC
2022,Florida,SEC
2022,SMU,Amer
2022,West Virginia,B12
2022,Virginia,ACC
2022,Vanderbilt,SEC
2022,BYU,WCC
2022,Santa Clara,WCC
2022,Northern Iowa,MVC
2022,DePaul,BE
2022,Stephen F. Austin,WAC
2022,Sam Houston St.,WAC
2022,UC Riverside,BW
2022,UNC Greensboro,SC
2022,Bellarmine,ASun
2022,Long Beach St.,BW
2022,Old Dominion,CUSA
2022,Campbell,BSth
2022,Alcorn St.,SWAC
2022,Mississippi St.,SEC
2022,Kansas St.,B12
2022,Fresno St.,MWC
2022,Saint Louis,A10
2022,Tulane,Amer
2022,Clemson,ACC
2022,Oregon,P12
2022,Furman,SC
2022,Missouri St.,MVC
2022,Towson,CAA
2022,Drake,MVC
2022,Arizona St.,P12
2022,Maryland,B10
2022,Colorado,P12
2022,UNLV,MWC
2022,Northwestern,B10
2022,St. Bonaventure,A10
2022,Wichita St.,Amer
2022,Iona,MAAC
2022,Belmont,OVC
2022,Grand Canyon,WAC
2022,Penn St.,B10
2022,Cincinnati,Amer
2022,Middle Tennessee,CUSA
2022,UCF,Amer
2022,Toledo,MAC
2022,Mississippi,SEC
2022,Louisiana Tech,CUSA
2022,Bradley,MVC
2022,Florida St.,ACC
2022,South Carolina,SEC
2022,Washington,P12
2022,Temple,Amer
2022,Princeton,Ivy
2022,Minnesota,B10
2022,Boston College,ACC
2022,Hofstra,CAA
2022,Nebraska,B10
2022,Abilene Christian,WAC
2022,Stanford,P12
2022,Utah Valley,WAC
2022,Butler,BE
2022,Louisville,ACC
2022,Morehead St.,OVC
2022,North Carolina St.,ACC
2022,George Mason,A10
2022,Liberty,ASun
2022,Utah,P12
2022,Nevada,MWC
2022,Western Kentucky,CUSA
2022,Southern Illinois,MVC
2022,Wofford,SC
2022,College of Charleston,CAA
2022,Texas St.,SB
2022,Kent St.,MAC
2022,Florida Atlantic,CUSA
2022,California,P12
2022,Georgia Tech,ACC
2022,Rhode Island,A10
2022,UC Santa Barbara,BW
2022,Seattle,WAC
2022,Drexel,CAA
2022,Buffalo,MAC
2022,UC Irvine,BW
2022,Saint Joseph's,A10
2022,Ohio,MAC
2022,Gardner Webb,BSth
2022,Jacksonville,ASun
2022,Missouri,SEC
2022,Appalachian St.,SB
2022,New Mexico,MWC
2022,UTEP,CUSA
2022,UNC Wilmington,CAA
2022,Wagner,NEC
2022,Tulsa,Amer
2022,Mercer,SC
2022,Coastal Carolina,SB
2022,Portland,WCC
2022,South Alabama,SB
2022,North Dakota St.,Sum
2022,East Tennessee St.,SC
2022,Samford,SC
2022,East Carolina,Amer
2022,Cleveland St.,Horz
2022,Monmouth,MAAC
2022,Georgetown,BE
2022,VMI,SC
2022,Louisiana Lafayette,SB
2022,Hawaii,BW
2022,Northern Kentucky,Horz
2022,Winthrop,BSth
2022,Oakland,Horz
2022,Southern Utah,BSky
2022,Fordham,A10
2022,Cornell,Ivy
2022,Navy,Pat
2022,Oral Roberts,Sum
2022,Florida Gulf Coast,ASun
2022,Charlotte,CUSA
2022,Massachusetts,A10
2022,Georgia,SEC
2022,Weber St.,BSky
2022,Pittsburgh,ACC
2022,Tarleton St.,WAC
2022,Illinois St.,MVC
2022,UMKC,Sum
2022,Arkansas St.,SB
2022,Indiana St.,MVC
2022,Troy,SB
2022,Nicholls St.,Slnd
2022,Loyola Marymount,WCC
2022,Valparaiso,MVC
2022,UC Davis,BW
2022,Fort Wayne,Horz
2022,Niagara,MAAC
2022,Fairfield,MAAC
2022,Harvard,Ivy
2022,UNC Asheville,BSth
2022,South Dakota,Sum
2022,Oregon St.,P12
2022,Northern Colorado,BSky
2022,James Madison,CAA
2022,Cal Baptist,WAC
2022,Penn,Ivy
2022,San Diego,WCC
2022,George Washington,A10
2022,Rider,MAAC
2022,Detroit,Horz
2022,Dartmouth,Ivy
2022,Marist,MAAC
2022,Brown,Ivy
2022,La Salle,A10
2022,Boston University,Pat
2022,Southeast Missouri St.,OVC
2022,High Point,BSth
2022,Kennesaw St.,ASun
2022,Northeastern,CAA
2022,Eastern Washington,BSky
