season,team,home_hca
2021,Alabama,4.152777777777779
2021,Texas A&M Corpus Chris,8.59090909090909
2021,Texas,0.325536062378168
2021,Tarleton St.,17.06111111111111
2021,TCU,0.5846153846153852
2021,St. John's,3.1346153846153846
2021,South Florida,2.1287878787878793
2021,South Dakota,1.9000000000000004
2021,South Carolina St.,10.050420168067227
2021,South Alabama,3.518518518518518
2021,Santa Clara,3.339712918660287
2021,San Diego St.,-0.26428571428571423
2021,Saint Mary's,4.978260869565217
2021,Saint Louis,5.828571428571429
2021,Sacramento St.,13.1203007518797
2021,SMU,4.763888888888889
2021,Rutgers,6.223809523809523
2021,Rhode Island,2.003636363636364
2021,Quinnipiac,1.4
2021,Purdue Fort Wayne,0.0
2021,Purdue,1.7962184873949578
2021,Prairie View A&M,5.153846153846153
2021,Portland,3.716666666666667
2021,Pittsburgh,1.2214285714285715
2021,Texas St.,2.4519230769230766
2021,Pacific,5.988888888888889
2021,Texas Tech,4.745210727969349
2021,UAB,7.325630252100842
2021,Xavier,3.80952380952381
2021,Wofford,3.6622073578595318
2021,Wisconsin,5.258333333333334
2021,Western Kentucky,3.3518518518518516
2021,Western Carolina,5.166153846153846
2021,West Virginia,0.9357142857142859
2021,Weber St.,4.11188811188811
2021,Washington St.,5.346153846153847
2021,Wake Forest,7.421052631578948
2021,Virginia Tech,2.8285714285714283
2021,Virginia,1.5075000000000003
2021,Villanova,7.0
2021,VMI,8.974358974358974
2021,Utah St.,0.5233265720081146
2021,UTEP,11.051383399209486
2021,UT Arlington,6.925714285714287
2021,USC Upstate,0.928853754940711
2021,USC,3.2366071428571423
2021,UNLV,5.224537037037037
2021,UMass Lowell,0.8363636363636364
2021,UMKC,10.695652173913043
2021,UC Irvine,11.884615384615383
2021,UC Davis,1.9588235294117646
2021,The Citadel,9.533333333333333
2021,Oregon St.,2.4318181818181817
2021,Providence,1.68
2021,Ohio,6.041666666666667
2021,Jacksonville,7.3768115942028984
2021,Iowa,2.982258064516129
2021,Indiana,3.128205128205128
2021,Ohio St.,3.3208333333333337
2021,Houston,5.492668621700879
2021,Grand Canyon,5.065217391304348
2021,Georgia Tech,2.2487179487179487
2021,Georgia Southern,8.212307692307691
2021,Georgetown,2.3021978021978025
2021,Furman,8.346153846153847
2021,Fresno St.,6.125
2021,James Madison,1.973684210526315
2021,Florida Gulf Coast,4.358288770053475
2021,Elon,8.050420168067227
2021,East Tennessee St.,2.881410256410257
2021,Davidson,3.75
2021,Connecticut,2.9696969696969706
2021,Chattanooga,0.7000000000000002
2021,Cal St. Northridge,-0.7261904761904763
2021,Butler,6.16
2021,Bradley,4.8125
2021,BYU,3.08994708994709
2021,Army,0.9696969696969697
2021,Arkansas,5.073313782991201
2021,FIU,6.16
2021,Kansas St.,1.90546218487395
2021,Illinois,1.4651952461799667
2021,Kentucky,1.5833333333333333
2021,Northern Kentucky,2.0471014492753623
2021,Northern Illinois,5.105263157894736
2021,North Florida,6.714285714285715
2021,North Carolina,5.977207977207978
2021,North Alabama,9.96014492753623
2021,Kennesaw St.,8.618012422360248
2021,Nevada,5.461538461538462
2021,Nebraska Omaha,4.862222222222223
2021,Nebraska,8.85925925925926
2021,Navy,1.5470588235294125
2021,N.C. State,0.0
2021,New Hampshire,0.0222222222222222
2021,Missouri,0.9538461538461538
2021,Morgan St.,0.8272727272727272
2021,Louisville,5.555023923444976
2021,Loyola Marymount,3.3766233766233764
2021,Marquette,4.038461538461538
2021,Mercer,5.0
2021,Maryland,5.6
2021,Michigan,2.0999999999999996
2021,Michigan St.,6.866071428571429
2021,Minnesota,9.026785714285714
2021,Mississippi St.,2.21875
2021,Miami OH,3.1818181818181817
2021,Toledo,6.510344827586206
2021,Southern,12.51388888888889
2021,Towson,4.533333333333333
2021,Utah Valley,3.1523809523809523
2021,Saint Joseph's,4.669172932330828
2021,SIU Edwardsville,-3.378181818181818
2021,Howard,0.4499999999999993
2021,California,6.321428571428571
2021,George Mason,5.9523809523809526
2021,North Texas,9.619047619047617
2021,Kansas,1.7394636015325666
2021,Syracuse,7.603076923076923
2021,South Dakota St.,2.441558441558441
2021,Saint Peter's,4.345238095238095
2021,Richmond,0.7467532467532472
2021,Queens (NC),0.6666666666666667
2021,Tulane,3.148550724637681
2021,UNC Asheville,5.2
2021,UNC Greensboro,-0.5862068965517242
2021,UTSA,11.48
2021,VCU,4.191428571428571
2021,Vanderbilt,4.288461538461538
2021,William Jessup,1.8000000000000007
2021,UCLA,4.776209677419355
2021,North Carolina A&T,11.285714285714286
2021,Oakland,7.527777777777779
2021,Arizona,2.403846153846154
2021,Austin Peay,5.038461538461539
2021,Cal Poly,3.782608695652174
2021,Central Connecticut,2.152631578947368
2021,Charlotte,4.653846153846153
2021,Eastern Kentucky,4.253694581280788
2021,Georgia St.,5.611721611721611
2021,Gonzaga,0.5894736842105281
2021,Appalachian St.,10.917582417582418
2021,Incarnate Word,2.766666666666666
2021,Nicholls St.,6.079545454545455
2021,Middle Tennessee,6.454545454545455
2021,Marshall,0.2490842490842491
2021,Louisiana Tech,4.4142614601018675
2021,Jacksonville St.,4.3076923076923075
2021,St. Louis Pharmacy,0.0
2021,St. Francis PA,2.3571428571428577
2021,Southern Utah,5.6463768115942035
2021,Rice,9.476190476190476
2021,Radford,1.8666666666666663
2021,Tulsa,3.4173913043478263
2021,South Carolina,2.4666666666666663
2021,UNC Wilmington,8.258928571428571
2021,UT Rio Grande Valley,11.952153110047847
2021,Wyoming,4.848571428571429
2021,Penn St.,1.9166666666666667
2021,Coastal Carolina,7.773333333333332
2021,Bowling Green,-4.173076923076923
2021,Buffalo,-0.8399999999999999
2021,Charleston,0.0
2021,Oral Roberts,9.482758620689655
2021,Denver,5.166666666666666
2021,Duke,1.8636363636363633
2021,Old Dominion,4.620553359683794
2021,Oklahoma St.,1.4088669950738915
2021,Illinois Chicago,2.7990430622009566
2021,Mobile,-3.5
2021,Louisiana Lafayette,-0.25
2021,Lipscomb,5.064102564102564
2021,Sam Houston St.,12.380952380952381
2021,Samford,7.076023391812866
2021,San Francisco,-0.21666666666666634
2021,Seattle,7.513833992094862
2021,Texas A&M,3.994652406417112
2021,UC Santa Barbara,7.0989010989011
2021,Washington,1.8736263736263732
2021,Morehead St.,4.914285714285714
2021,Murray St.,10.313333333333333
2021,Arizona Christian,0.0
2021,Creighton,4.711111111111111
2021,Georgia,6.0125
2021,Iowa St.,3.958333333333333
2021,Arizona St.,4.831428571428571
2021,Miami FL,3.6179487179487184
2021,Seton Hall,2.2535612535612537
2021,Stanford,0.027472527472527458
2021,Stetson,8.544871794871796
2021,Tennessee Tech,6.4370629370629375
2021,UCF,6.616161616161617
2021,Campbell,2.8076923076923075
2021,Hofstra,2.3181818181818183
2021,Little Rock,6.426086956521739
2021,LSU,5.616666666666667
2021,Stephen F. Austin,7.200000000000001
2021,New Mexico St.,10.850000000000001
2021,Abilene Christian,11.428571428571429
2021,Charleston Southern,1.75
2021,Dayton,2.9565217391304346
2021,East Carolina,2.0809716599190287
2021,George Washington,3.3764705882352946
2021,Southeast Missouri St.,2.5128205128205128
2021,Tennessee Martin,6.070234113712374
2021,Wichita St.,2.5181818181818185
2021,Southern Miss,4.6826923076923075
2021,Oregon,2.25
2021,Cal Baptist,6.7146739130434785
2021,Cincinnati,3.717391304347826
2021,Clemson,3.176811594202899
2021,Fairfield,1.2460317460317465
2021,Flagler,24.333333333333332
2021,Florida,4.005952380952381
2021,Florida St.,5.0
2021,Dixie St.,1.0065359477124183
2021,Illinois St.,8.283333333333333
2021,Norfolk St.,4.970238095238096
2021,Northwestern,5.295031055900622
2021,Memphis,1.9333333333333336
2021,McNeese St.,17.300724637681157
2021,LafayetteNew Orleans,0.0
2021,Kent St.,4.261904761904763
2021,Utah,5.894285714285713
2021,Winthrop,1.0830769230769235
2021,Wright St.,-1.4180602006688972
2021,Oklahoma,8.351648351648352
2021,Pepperdine,2.8740740740740747
2021,Eastern Illinois,2.224358974358974
2021,Florida Atlantic,21.090909090909093
2021,Drake,7.423387096774194
2021,Liberty,9.711206896551724
2021,Grambling St.,5.8826086956521735
2021,Northern Iowa,5.473333333333334
2021,Stony Brook,3.3
2021,Auburn,4.8076923076923075
2021,Arkansas St.,11.272727272727273
2021,Boise St.,3.7142857142857153
2021,Eastern Michigan,15.419117647058822
2021,Hartford,8.5
2021,Robert Morris,4.732142857142857
2021,Loyola Chicago,2.9767025089605728
2021,Utah Tech,0.0
2021,Ball St.,5.863636363636363
2021,Belmont,-1.0788177339901477
2021,Binghamton,-3.7111111111111104
2021,Bryant,3.9469696969696972
2021,College of Charleston,0.7272727272727275
2021,Air Force,1.0181818181818176
2021,Green Bay,5.454545454545454
2021,High Point,4.808333333333334
2021,Houston Baptist,4.15
2021,Delaware,3.984126984126984
2021,Southern Illinois,5.230769230769231
2021,Valparaiso,4.5
2021,Western Illinois,5.904761904761905
2021,"Western Kentucky -38.1, 99-61",0.0
2021,Notre Dame,3.9038461538461537
2021,Northwestern St.,9.99025974025974
2021,Drexel,3.5175438596491224
2021,Marist,1.05
2021,Long Beach St.,3.3809523809523814
2021,Longwood,6.663129973474801
2021,Western Michigan,6.017543859649123
2021,UMBC,-1.5388888888888892
2021,Cal St. Bakersfield,10.072727272727274
2021,Portland St.,0.8278388278388278
2021,Tennessee,4.452488687782806
2021,St. Francis NY,0.625
2021,New Orleans,8.940711462450594
2021,Mount St. Mary's,4.0
2021,Detroit Mercy,0.0
2021,Fairleigh Dickinson,0.6727272727272728
2021,Indiana St.,3.473846153846154
2021,Iona,2.7777777777777777
2021,La Salle,9.616666666666667
2021,"Memphis -37.7, 98-61",0.0
2021,San Jose St.,7.050000000000001
2021,Youngstown St.,8.333333333333334
2021,Northern Colorado,3.463203463203463
2021,Baylor,1.2457983193277293
2021,Bellarmine,0.2294372294372291
2021,Evansville,7.34
2021,Louisiana Monroe,2.556666666666666
2021,Northern Arizona,-1.6785714285714288
2021,Mississippi,4.637037037037037
2021,Florida National,-1.8333333333333321
2021,Coppin St.,3.0178571428571432
2021,Massachusetts,3.5166666666666666
2021,Texas Southern,8.68
2021,Manhattan,0.050000000000000266
2021,Canisius,4.36923076923077
2021,Eastern Washington,4.2101449275362315
2021,Hawaii,3.683333333333333
2021,Houston Christian,0.0
2021,North Dakota St.,2.0461538461538464
2021,Montana,7.811965811965813
2021,Central Michigan,5.818181818181818
2021,Boston College,4.571428571428571
2021,Akron,7.863636363636364
2021,IU Indy,0.0
2021,Idaho St.,10.420289855072463
2021,Troy,11.181818181818182
2021,Montana St.,4.295454545454545
2021,Northeastern,8.380952380952381
2021,Cal St. Fullerton,4.022222222222222
2021,San Diego,0.907692307692308
2021,Presbyterian,4.590909090909091
2021,Colorado St.,4.0989010989010985
2021,Colorado,6.275268817204301
2021,St. Bonaventure,6.107692307692309
2021,Our Lady of the Lake,-11.8
2021,Monmouth,4.65
2021,Lamar,7.510489510489511
2021,Missouri St.,0.5
2021,BrooklynSacred Heart,0.0
2021,Hampton,-0.9333333333333327
2021,New Mexico,-5.309523809523809
2021,Rider,1.1136363636363633
2021,Tennessee St.,3.069264069264069
2021,Gardner Webb,5.63986013986014
2021,Niagara,3.9941520467836256
2021,William & Mary,0.5
2021,UMKC 12-,0.0
2021,Temple,1.0666666666666669
2021,Detroit,-9.333333333333334
2021,Albany,0.30000000000000004
2021,Alabama A&M,10.69047619047619
2021,Central Arkansas,13.787439613526569
2021,Fort Wayne,4.833333333333334
2021,Wagner,1.9500000000000002
2021,UC San Diego,12.645833333333334
2021,DePaul,3.3888888888888893
2021,Cleveland St.,7.776666666666667
2021,Vermont,0.28888888888888964
2021,"Gonzaga -37.7, 100-63",0.0
2021,"Gonzaga -40.0, 105-65",0.0
2021,"Baylor -39.9, 99-59",0.0
2021,Delaware St.,8.947368421052632
2021,Fordham,0.5
2021,Idaho,0.8090909090909086
2021,IUPUI,-2.928571428571429
2021,North Dakota,3.465
2021,Colgate,2.993055555555557
2021,Arkansas Pine Bluff,22.625
2021,Alabama St.,4.095588235294118
2021,Maine,10.944444444444445
2021,Lehigh,-1.9285714285714288
2021,Siena,-1.3125
2021,Bucknell,1.6166666666666665
2021,Lafayette,1.9464285714285714
2021,Holy Cross,1.2249999999999996
2021,Duquesne,4.1078431372549025
2021,Boston University,-3.132352941176471
2021,Southeastern Louisiana,11.220238095238095
2021,Merrimack,1.1666666666666667
2021,LIU Brooklyn,2.7777777777777777
2021,UC Riverside,-1.6349206349206344
2021,Milwaukee,0.5873015873015873
2021,NJIT,-0.07936507936507908
2021,Florida A&M,7.633333333333333
2021,Mississippi Valley St.,17.666666666666668
2021,Sacred Heart,8.619047619047619
2021,Alcorn St.,14.663865546218487
2021,Loyola MD,2.8303571428571432
2021,Saint Francis,0.0
2021,Western New Mexico,0.0
2021,North Carolina Central,9.023809523809524
2021,BrooklynSt. Francis NY,0.0
2021,Jackson St.,12.507352941176471
2021,North Carolina St.,-2.25
2021,LafayetteArkansas St.,0.0
2021,American,2.444444444444444
2021,LafayetteLittle Rock,0.0
2022,Princeton,3.9725490196078432
2022,Providence,2.8095238095238093
2022,Santa Clara,3.0047846889952154
2022,Purdue,3.1788819875776397
2022,Purdue Fort Wayne,0.0
2022,Radford,6.098522167487685
2022,Rhode Island,4.223908918406072
2022,Rice,5.716108452950558
2022,Richmond,1.5554054054054056
2022,Saint Mary's,6.6117647058823525
2022,Sacramento St.,4.152709359605912
2022,Saint Joseph's,4.290196078431372
2022,Saint Louis,4.35064935064935
2022,Pittsburgh,2.33276740237691
2022,Yale,3.878136200716846
2022,Samford,6.489583333333333
2022,San Diego,6.216318785578748
2022,San Diego St.,5.4555921052631575
2022,San Francisco,1.1390374331550799
2022,SMU,3.4393939393939394
2022,Oregon St.,3.588709677419354
2022,Murray St.,5.308123249299719
2022,Oklahoma St.,3.0777777777777775
2022,Montana,12.130514705882351
2022,Morgan St.,13.678571428571429
2022,South Alabama,5.7272727272727275
2022,N.C. State,0.0
2022,Nebraska,1.6403225806451611
2022,Nebraska Omaha,8.05665024630542
2022,Nevada,3.441532258064516
2022,New Hampshire,4.785714285714286
2022,New Mexico St.,4.867647058823529
2022,Oregon,4.371428571428572
2022,Norfolk St.,7.867172675521823
2022,North Dakota,5.352380952380952
2022,North Dakota St.,6.996434937611408
2022,North Texas,1.3068181818181817
2022,Northern Iowa,3.5625
2022,Northern Kentucky,2.900862068965517
2022,Northwestern,5.020373514431239
2022,Ohio,3.545864661654136
2022,Ohio St.,3.5035842293906807
2022,Oklahoma,6.4
2022,North Carolina,3.384615384615385
2022,South Carolina,4.606112054329372
2022,UNC Greensboro,2.0416666666666665
2022,South Florida,3.745098039215686
2022,VMI,5.5
2022,Valparaiso,5.23125
2022,Villanova,4.6258581235697935
2022,Virginia,2.235294117647059
2022,Virginia Tech,4.800000000000001
2022,Wagner,8.951566951566953
2022,Washington,3.0056818181818183
2022,Washington St.,0.579318448883666
2022,Weber St.,1.594896331738437
2022,West Virginia,6.3151515151515145
2022,Western Carolina,7.660416666666666
2022,Western Kentucky,3.7976190476190474
2022,Wichita St.,2.2086466165413534
2022,Winthrop,6.204044117647058
2022,Wisconsin,1.4393939393939394
2022,Wofford,5.1875
2022,Wright St.,3.3556618819776713
2022,Xavier,3.191111111111111
2022,Missouri St.,3.2072829131652654
2022,VCU,0.34375
2022,Utah St.,3.093582887700535
2022,Utah,5.772401433691756
2022,UTSA,6.85
2022,Southern Miss,3.921212121212122
2022,Southern Utah,5.355555555555555
2022,St. Bonaventure,5.865151515151515
2022,St. John's,4.1625
2022,Stanford,4.875
2022,Stephen F. Austin,1.7562499999999996
2022,Stetson,3.7807881773399012
2022,Syracuse,4.677083333333333
2022,"Tennessee -34.3, 92-58",0.0
2022,South Dakota St.,6.414285714285716
2022,Texas,6.7257575757575765
2022,Texas Tech,7.047567567567569
2022,Troy,5.620493358633776
2022,Tulane,3.726190476190476
2022,UAB,5.645962732919253
2022,UCLA,2.9142857142857146
2022,UMass Lowell,5.629032258064516
2022,USC,2.788235294117646
2022,UT Rio Grande Valley,2.9000000000000004
2022,UTEP,3.250700280112045
2022,Texas A&M Corpus Chris,5.0357142857142865
2022,Missouri,5.4
2022,Georgia Tech,5.322916666666666
2022,Minnesota,4.333333333333334
2022,Charleston Southern,12.856079404466502
2022,Charlotte,4.818548387096774
2022,Chicago St.,5.03970223325062
2022,Cincinnati,4.715151515151515
2022,Clemson,3.2566844919786093
2022,Coastal Carolina,4.818181818181818
2022,Colgate,8.051470588235293
2022,Colorado,1.4833333333333338
2022,Colorado St.,2.3673835125448024
2022,Connecticut,6.998161764705884
2022,Creighton,4.042105263157895
2022,Davidson,4.235294117647058
2022,Dayton,1.3684210526315788
2022,Delaware St.,8.392857142857142
2022,Denver,3.3995037220843676
2022,Drexel,3.3571428571428577
2022,Duquesne,-0.11250000000000071
2022,East Carolina,4.519607843137255
2022,Eastern Kentucky,9.747628083491461
2022,Campbell,5.327586206896552
2022,Florida,5.258823529411764
2022,California,5.166666666666666
2022,Cal Baptist,8.129411764705882
2022,Mississippi,3.9598214285714284
2022,Alabama,1.691919191919192
2022,Alabama A&M,9.866666666666667
2022,Albany,-0.801075268817204
2022,American,6.83225806451613
2022,Arizona,2.907168037602819
2022,Arizona St.,5.276209677419355
2022,Arkansas,3.4422604422604435
2022,Arkansas St.,6.273563218390804
2022,Army,10.253456221198157
2022,Auburn,4.382352941176471
2022,Austin Peay,5.095238095238096
2022,BYU,4.03015873015873
2022,Binghamton,4.877984084880637
2022,Boise St.,1.0210526315789465
2022,Boston College,4.96875
2022,Brown,3.731527093596059
2022,Bryant,9.46875
2022,Butler,3.840909090909091
2022,Cal Poly,7.402597402597403
2022,Florida Gulf Coast,6.157894736842104
2022,Drake,2.2550505050505043
2022,Fresno St.,2.9563492063492074
2022,Jacksonville,11.793548387096775
