Home_Team,Away_Team,Spread,Over_Under
Missouri,Arkansas,-2.5,160.5
Oklahoma State,Houston,13.5,148.0
Duke,North Carolina,-17.5,147.0
Iowa State,Arizona State,-15.5,148.5
UConn,Marquette,-9.5,143.5
Villanova,Xavier,-11.5,153.5
Florida,Kentucky,-6.5,160.0
Miami (FL),Louisville,-1.5,157.0
Colorado State,Boise State,-1.5,143.5
Alabama,Auburn,-8.5,178.5
Virginia,Virginia Tech,-11.5,145.5
Kansas,Kansas State,-16.0,156.5
Tennessee,Vanderbilt,-4.0,147.5
Texas,Oklahoma,-7.5,154.5
TCU,Cincinnati,-2.0,140.5
Ohio State,Indiana,-4.5,149.0
LSU,Texas A&M,3.5,159.0
Central Arkansas,FGCU,-5.5,146.0
Vermont,Bryant,-11.5,130.5
Appalachian State,Southern Miss,-3.5,136.0
Austin Peay,Queens,-1.5,161.5
Idaho State,Northern Arizona,-4.5,142.0
St. Bonaventure,Davidson,-3.0,142.0
Clemson,Georgia Tech,-16.5,144.5
Campbell,Stony Brook,-2.5,146.5
Loyola Chicago,George Washington,-10.5,152.0
Duquesne,Richmond,-5.0,150.0
Fordham,Rhode Island,-1.0,135.0
Cornell,Dartmouth,-5.0,165.5
Butler,DePaul,-14.0,148.5
Creighton,Seton Hall,-8.5,142.0
Providence,Georgetown,-13.0,145.5
St. John's,Marquette,-2.5,154.0
Oregon,Washington,-6.5,151.5
Washington State,Oregon State,-9.0,138.5
