Home_Team,Away_Team,Spread,Over_Under,Time,Is_Neutral
Yale,Cornell,-4.5,163.5,11:00 AM,True
UMBC,Vermont,-3.5,136.5,11:00 AM,True
Michigan,Wisconsin,-12.5,160.5,1:00 PM,True
Florida,Vanderbilt,-8.5,160.5,1:00 PM,True
Howard,NC Central,-11.5,144.5,1:00 PM,True
Saint Louis,Dayton,-5.5,148.5,1:00 PM,True
Harvard,Penn,-2.5,136.5,2:00 PM,True
South Florida,Charlotte,-14.5,153.5,3:00 PM,True
Arkansas,Ole Miss,-8.5,157.5,3:30 PM,True
UCLA,Purdue,+7.5,147.5,3:30 PM,True
VCU,Saint Joseph's,-6.5,145.5,3:30 PM,True
Tulsa,Wichita State,-1.5,149.5,5:30 PM,True
Arizona,Houston,-2.5,137.5,6:00 PM,True
Utah State,San Diego State,-1.5,147.5,6:00 PM,True
St. John's,UConn,+3.5,140.5,6:30 PM,True
Southern,Prairie View,-3.5,150.5,7:30 PM,True
Akron,Toledo,-7.5,159.5,8:00 PM,True
Duke,Virginia,-8.5,137.5,8:30 PM,True
Kennesaw State,Louisiana Tech,-1.5,140.5,8:30 PM,True
UC Irvine,Hawaii,-2.5,138.5,10:00 PM,True
